[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_parse ] --START--
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Run ParseTemplate Behavior [ RunTime:0.008860s ]
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008914s ]
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_filter ] --START--
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Run ContentReplace Behavior [ RunTime:0.000222s ]
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Run TokenBuild Behavior [ RunTime:0.000217s ]
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000148s ]
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000240s ]
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000915s ]
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_end ] --START--
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000237s ]
[ 2016-06-16T16:37:08+08:00 ] /T050/index.php/Jifen/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000266s ]
[ 2016-06-16T16:37:09+08:00 ] /T050/index.php/Transfer/shifang | INFO: Tag[ route_check ] --START--
[ 2016-06-16T16:37:09+08:00 ] /T050/index.php/Transfer/shifang | INFO: Run CheckRoute Behavior [ RunTime:0.000400s ]
[ 2016-06-16T16:37:09+08:00 ] /T050/index.php/Transfer/shifang | INFO: Tag[ route_check ] --END-- [ RunTime:0.000447s ]
[ 2016-06-16T16:37:09+08:00 ] /T050/index.php/Transfer/shifang | INFO: Tag[ app_begin ] --START--
